Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
Club/Bar/Restaurant,10308.0,STATEN ISLAND,STATEN ISLAND,40.544096088789225,-74.14115468967245,40
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72979348359966,-73.99884181131429,18
Club/Bar/Restaurant,10308.0,STATEN ISLAND,STATEN ISLAND,40.54420876737653,-74.14103979012613,21
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86637625588829,-73.92825812322728,160
Club/Bar/Restaurant,11220.0,BROOKLYN,BROOKLYN,40.6352068552889,-74.02028461083884,17
Club/Bar/Restaurant,10029.0,NEW YORK,MANHATTAN,40.791861155229675,-73.94539159044065,211
Club/Bar/Restaurant,10002.0,NEW YORK,MANHATTAN,40.718794721647406,-73.98901164934453,41
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86954933988228,-73.9163483681302,271
Club/Bar/Restaurant,11373.0,ELMHURST,QUEENS,40.739248844818526,-73.88445695649304,15
Club/Bar/Restaurant,10013.0,NEW YORK,MANHATTAN,40.72278877838142,-74.00459619096591,43
Club/Bar/Restaurant,10003.0,NEW YORK,MANHATTAN,40.725810569583004,-73.99199057565006,42
Club/Bar/Restaurant,11419.0,SOUTH RICHMOND HILL,QUEENS,40.68935073902915,-73.81613264073688,46
Club/Bar/Restaurant,10128.0,NEW YORK,MANHATTAN,40.779333826513366,-73.95066994749678,16
Club/Bar/Restaurant,10009.0,NEW YORK,MANHATTAN,40.72349367369547,-73.98825325266078,1175
Club/Bar/Restaurant,10464.0,BRONX,BRONX,40.83767128291079,-73.7829010648767,11
Club/Bar/Restaurant,10009.0,NEW YORK,MANHATTAN,40.723202731936546,-73.98827855789584,24
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.864377032267505,-73.92653574970558,458
Club/Bar/Restaurant,11235.0,BROOKLYN,BROOKLYN,40.58413030722871,-73.93277355495991,58
Club/Bar/Restaurant,11223.0,BROOKLYN,BROOKLYN,40.590136164749964,-73.97389623946306,38
Club/Bar/Restaurant,11218.0,BROOKLYN,BROOKLYN,40.642695194214724,-73.96977505994141,128
Club/Bar/Restaurant,11203.0,BROOKLYN,BROOKLYN,40.63684290054418,-73.9307531916987,28
Club/Bar/Restaurant,11234.0,BROOKLYN,BROOKLYN,40.584884121212134,-73.9266415931382,45
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.74252090812553,-74.00051966053194,23
Club/Bar/Restaurant,11372.0,JACKSON HEIGHTS,QUEENS,40.747367159662645,-73.88655054366708,42
Club/Bar/Restaurant,10307.0,STATEN ISLAND,STATEN ISLAND,40.51478878187545,-74.24842225921331,72
Club/Bar/Restaurant,10305.0,STATEN ISLAND,STATEN ISLAND,40.5903421438896,-74.06662420886849,42
Club/Bar/Restaurant,11211.0,BROOKLYN,BROOKLYN,40.71377820117416,-73.95746753247961,42
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.84711144985251,-73.93818243577172,127
Club/Bar/Restaurant,10009.0,NEW YORK,MANHATTAN,40.72953107218499,-73.98041550317102,52
Club/Bar/Restaurant,11225.0,BROOKLYN,BROOKLYN,40.661969373516115,-73.96163480894957,16
Club/Bar/Restaurant,10036.0,NEW YORK,MANHATTAN,40.76081393580952,-73.98718901560662,19
Club/Bar/Restaurant,11207.0,BROOKLYN,BROOKLYN,40.66919734323511,-73.89645248407679,24
Club/Bar/Restaurant,11422.0,ROSEDALE,QUEENS,40.66479938203895,-73.7349102622122,39
